rank,tier,hostile_rank,deep_read_rank,serious_skim_rank,openalex_id,year,title,authors,venue,doi,cited_by_count,relevance_score,query_hits,family,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt
72,hostile_prior;deep_read;serious_skim;landscape,72,72,72,https://openalex.org/W2141847241,2014,Volumetric Next-best-view Planning for 3D Object Reconstruction with Positioning Error,Juan Irving Vasquez-Gomez; Luis Enrique Sucar; Rafael Murrieta-Cid; Efrain Lopez-Damian,International Journal of Advanced Robotic Systems,https://doi.org/10.5772/58759,128,22.1009,2,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"Three-dimensional (3D) object reconstruction is the process of building a 3D model of a real object. This task is performed by taking several scans of an object from different locations (views). Due to the limited field of view of the sensor and the object's self-occlusions, it is a difficult problem to solve. In addition, sensor positioning by robots is not perfect, making the actual view different from the expected one. We propose a next best view (NBV) algorithm that determines each view to reconstruct an arbitrary object. Furthermore, we propose a method to deal with the uncertainty in sensor positioning. The algorithm fulfills all the co"
73,hostile_prior;deep_read;serious_skim;landscape,73,73,73,https://openalex.org/W2791787951,2018,Active Vision via Extremum Seeking for Robots in Unstructured Environments: Applications in Object Recognition and Manipulation,Berk Call; Wouter Caarls; Martijn Wisse; Pieter Jonker,IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/tase.2018.2807787,38,22.0822,1,robotic_perception_general,"Improve robot perception of 3D geometry for planning, manipulation, or navigation.","Combines perception models with robot task context, motion, or geometry processing.",Task-level perception can tolerate local missing-depth assumptions.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can treat holes as nuisance preprocessing rather than action-relevant evidence gaps.,Makes generic robot depth perception less novel.,"Treat missing depth as an action target, not only a perception output.","In this paper, a novel active vision strategy is proposed for optimizing the viewpoint of a robot's vision sensor for a given success criterion. The strategy is based on extremum seeking control (ESC), which introduces two main advantages: 1) Our approach is model free: It does not require an explicit objective function or any other task model to calculate the gradient direction for viewpoint optimization. This brings new possibilities for the use of active vision in unstructured environments, since a priori knowledge of the surroundings and the target objects is not required. 2) ESC conducts continuous optimization backed up with mechanisms"
74,hostile_prior;deep_read;serious_skim;landscape,74,74,74,https://openalex.org/W1980449029,1999,Are Theories of Imagery Theories of Imagination? An Active Perception Approach to Conscious Mental Content,Nigel J. T. Thomas,Cognitive Science,https://doi.org/10.1207/s15516709cog2302_3,285,21.9796,1,robotic_perception_general,"Improve robot perception of 3D geometry for planning, manipulation, or navigation.","Combines perception models with robot task context, motion, or geometry processing.",Task-level perception can tolerate local missing-depth assumptions.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can treat holes as nuisance preprocessing rather than action-relevant evidence gaps.,Makes generic robot depth perception less novel.,"Treat missing depth as an action target, not only a perception output.","Can theories of mental imagery, conscious mental contents, developed within cognitive science throw light on the obscure (but culturally very significant) concept of imagination? Three extant views of mental imagery are considered: quasipictorial, description, and perceptual activity theories. The first two face serious theoretical and empirical difficulties. The third is (for historically contingent reasons) little known, theoretically underdeveloped, and empirically untried, but has real explanatory potential. It rejects the traditional symbolic computational view of mental contents, but is compatible with recent situated cognition and acti"
75,hostile_prior;deep_read;serious_skim;landscape,75,75,75,https://openalex.org/W4283765624,2022,"Autonomous Robotic Manipulation: Real-Time, Deep-Learning Approach for Grasping of Unknown Objects",Malak Sayour; Sharbel Kozhaya; Samer S. Saab,Journal of Robotics,https://doi.org/10.1155/2022/2585656,37,21.9732,1,robotic_perception_general,"Improve robot perception of 3D geometry for planning, manipulation, or navigation.","Combines perception models with robot task context, motion, or geometry processing.",Task-level perception can tolerate local missing-depth assumptions.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can treat holes as nuisance preprocessing rather than action-relevant evidence gaps.,Makes generic robot depth perception less novel.,"Treat missing depth as an action target, not only a perception output.",Recent advancement in vision-based robotics and deep-learning techniques has enabled the use of intelligent systems in a wider range of applications requiring object manipulation. Finding a robust solution for object grasping and autonomous manipulation became the focus of many engineers and is still one of the most demanding problems in modern robotics. This paper presents a full grasping pipeline proposing a real-time data-driven deep-learning approach for robotic grasping of unknown objects using MATLAB and convolutional neural networks. The proposed approach employs RGB-D image data acquired from an eye-in-hand camera centering the object
76,hostile_prior;deep_read;serious_skim;landscape,76,76,76,https://openalex.org/W4404971912,2024,HTPE-Net: Monocular 6D Pose Estimation of Transparent Objects in Hand for Robot Manipulation,Ran Yu; Shoujie Li; Haixin Yu; Wenbo Ding,,https://doi.org/10.22541/au.173321945.54329568/v1,0,21.9,1,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent objects are difficult to perceive due to their unique optical properties, and the dynamic interaction between the hand and object further complicates pose estimation. To address this problem, we propose HTPE-Net, a monocular instance-level 6D pose estimation method for hand-held transparent objects, addressing the significant challenges posed by the texture-less, non-Lambertian surfaces, and hand-object occlusions. HTPE-Net integrates hand and object features through a dual-stream feature extraction backbone and a hand-to-object feature enhancement module, generating geometric features and hand attention maps to improve robustness"
77,hostile_prior;deep_read;serious_skim;landscape,77,77,77,https://openalex.org/W3126856052,2020,LMSCNet: Lightweight Multiscale 3D Semantic Completion,"Rold\~ao, Luis; Raoul de Charette; Anne Verroust-Blondet",arXiv (Cornell University),,147,21.749,7,scene_or_shape_completion,"Complete unobserved 3D structure from partial point clouds, RGB-D frames, or learned shape priors.","Fits learned implicit fields, voxels, point transformers, or shape priors to partial 3D evidence.",Category or scene priors dominate local observability; unobserved surfaces can be plausibly completed without testing alternatives.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can hide ambiguity behind category priors and overconfident shape completion.,Makes learned completion of unobserved 3D structure less novel.,Explicit tests for whether a completed surface is identifiable under feasible robot motion.,"We introduce a new approach for multiscale 3Dsemantic scene completion from voxelized sparse 3D LiDAR scans. As opposed to the literature, we use a 2D UNet backbone with comprehensive multiscale skip connections to enhance feature flow, along with 3D segmentation heads. On the SemanticKITTI benchmark, our method performs on par on semantic completion and better on occupancy completion than all other published methods -- while being significantly lighter and faster. As such it provides a great performance/speed trade-off for mobile-robotics applications. The ablation studies demonstrate our method is robust to lower density inputs, and that it"
78,hostile_prior;deep_read;serious_skim;landscape,78,78,78,https://openalex.org/W3011284655,2019,Active Vision for Extraction of Physically Plausible Support Relations,Markus Grotz; David Sippel; Tamim Asfour,,https://doi.org/10.1109/humanoids43949.2019.9035018,8,21.669,1,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"Robots manipulating objects in cluttered scenes require a semantic scene understanding, which describes objects and their relations. Knowledge about physically plausible support relations among objects in such scenes is key for action execution. Due to occlusions, however, support relations often cannot be reliably inferred from a single view only. In this work, we present an active vision system that mitigates occlusion, and explores the scene for object support relations. We extend our previous work in which physically plausible support relations are extracted based on geometric primitives. The active vision system generates view candidates"
79,hostile_prior;deep_read;serious_skim;landscape,79,79,79,https://openalex.org/W2169464814,2002,Animat vision: Active vision in artificial animals,Demetri Terzopoulos; Tamer Rabie,,https://doi.org/10.1109/iccv.1995.466856,112,21.6546,1,robotic_perception_general,"Improve robot perception of 3D geometry for planning, manipulation, or navigation.","Combines perception models with robot task context, motion, or geometry processing.",Task-level perception can tolerate local missing-depth assumptions.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can treat holes as nuisance preprocessing rather than action-relevant evidence gaps.,Makes generic robot depth perception less novel.,"Treat missing depth as an action target, not only a perception output.","We propose and demonstrate a new paradigm for active vision research that draws upon recent advances in the fields of artificial life and computer graphics. A software alternative to the prevailing hardware vision mindset, animat vision prescribes artificial animals, or animats, situated in physics-based virtual worlds as autonomous virtual robots possessing active perception systems. To be operative in its world, an animat must autonomously control its eyes and muscle-actuated body, applying computer vision algorithms to continuously analyze the retinal image streams acquired by its eyes in order to locomote purposefully through its world. W"
80,hostile_prior;deep_read;serious_skim;landscape,80,80,80,https://openalex.org/W4322717261,2023,OccDepth: A Depth-Aware Method for 3D Semantic Scene Completion,Ruihang Miao; Weizhou Liu; Mingrui Chen; Zheng Gong; Weixin Xu; Hu Chen; et al.,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2302.13540,39,21.5911,5,scene_or_shape_completion,"Complete unobserved 3D structure from partial point clouds, RGB-D frames, or learned shape priors.","Fits learned implicit fields, voxels, point transformers, or shape priors to partial 3D evidence.",Category or scene priors dominate local observability; unobserved surfaces can be plausibly completed without testing alternatives.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can hide ambiguity behind category priors and overconfident shape completion.,Makes learned completion of unobserved 3D structure less novel.,Explicit tests for whether a completed surface is identifiable under feasible robot motion.,"3D Semantic Scene Completion (SSC) can provide dense geometric and semantic scene representations, which can be applied in the field of autonomous driving and robotic systems. It is challenging to estimate the complete geometry and semantics of a scene solely from visual images, and accurate depth information is crucial for restoring 3D geometry. In this paper, we propose the first stereo SSC method named OccDepth, which fully exploits implicit depth information from stereo images (or RGBD images) to help the recovery of 3D geometric structures. The Stereo Soft Feature Assignment (Stereo-SFA) module is proposed to better fuse 3D depth-aware f"
81,hostile_prior;deep_read;serious_skim;landscape,81,81,81,https://openalex.org/W2969202876,2019,Self-Supervised Sparse-to-Dense: Self-Supervised Depth Completion from LiDAR and Monocular Camera,Fangchang Ma; Guilherme V. Cavalheiro; Sertac Karaman,,https://doi.org/10.1109/icra.2019.8793637,471,21.5549,2,passive_depth_completion,"Infer dense metric depth from sparse, noisy, or partially missing RGB-D/LiDAR measurements.","Uses image/depth priors, sparse-to-dense networks, propagation, or local smoothness to fill missing depth from the current observation.",The current image and priors contain enough evidence; the camera pose is fixed at inference; missingness can be handled as statistical imputation.,"Camera pose, motion budget, viewpoint, and missingness process are fixed at completion time.",Can be provably non-identifiable when two 3D scenes induce the same first observation and hole mask.,Makes dense depth imputation from RGB-D/LiDAR priors less novel.,Set-valued completion plus purposeful parallax to distinguish indistinguishable first-view hypotheses.,"Depth completion, the technique of estimating a dense depth image from sparse depth measurements, has a variety of applications in robotics and autonomous driving. However, depth completion faces 3 main challenges: the irregularly spaced pattern in the sparse depth input, the difficulty in handling multiple sensor modalities (when color images are available), as well as the lack of dense, pixel-level ground truth depth labels for training. In this work, we address all these challenges. Specifically, we develop a deep regression model to learn a direct mapping from sparse depth (and color images) input to dense depth prediction. We also propos"
82,hostile_prior;deep_read;serious_skim;landscape,82,82,82,https://openalex.org/W3174175265,2021,DeepDNet: Deep Dense Network for Depth Completion Task,Girish Hegde; Tushar Pharale; Soumya Jahagirdar; Vaishakh Nargund; Ramesh Ashok Tabib; Uma Mudenagudi; et al.,,https://doi.org/10.1109/cvprw53098.2021.00248,12,21.4977,1,passive_depth_completion,"Infer dense metric depth from sparse, noisy, or partially missing RGB-D/LiDAR measurements.","Uses image/depth priors, sparse-to-dense networks, propagation, or local smoothness to fill missing depth from the current observation.",The current image and priors contain enough evidence; the camera pose is fixed at inference; missingness can be handled as statistical imputation.,"Camera pose, motion budget, viewpoint, and missingness process are fixed at completion time.",Can be provably non-identifiable when two 3D scenes induce the same first observation and hole mask.,Makes dense depth imputation from RGB-D/LiDAR priors less novel.,Set-valued completion plus purposeful parallax to distinguish indistinguishable first-view hypotheses.,"In this paper, we propose a Deep Dense Network for Depth Completion Task (DeepDNet) towards generating dense depth map using sparse depth and captured view. Wide variety of scene understanding applications such as 3D reconstruction, mixed reality, robotics demand accurate and dense depth maps. Existing depth sensors capture accurate and reliable sparse depth and find challenges in acquiring dense depth maps. Towards this we plan to utilise the accurate sparse depth as input with RGB image to generate dense depth. We model the transformation of random sparse input to grid-based sparse input using Quad-tree decomposition. We propose Dense-Resid"
83,hostile_prior;deep_read;serious_skim;landscape,83,83,83,https://openalex.org/W3110653837,2020,Learning Guided Convolutional Network for Depth Completion,Jie Tang; Fei-Peng Tian; Wei Feng; Jian Li; Ping Tan,IEEE Transactions on Image Processing,https://doi.org/10.1109/tip.2020.3040528,273,21.4646,2,passive_depth_completion,"Infer dense metric depth from sparse, noisy, or partially missing RGB-D/LiDAR measurements.","Uses image/depth priors, sparse-to-dense networks, propagation, or local smoothness to fill missing depth from the current observation.",The current image and priors contain enough evidence; the camera pose is fixed at inference; missingness can be handled as statistical imputation.,"Camera pose, motion budget, viewpoint, and missingness process are fixed at completion time.",Can be provably non-identifiable when two 3D scenes induce the same first observation and hole mask.,Makes dense depth imputation from RGB-D/LiDAR priors less novel.,Set-valued completion plus purposeful parallax to distinguish indistinguishable first-view hypotheses.,"Dense depth perception is critical for autonomous driving and other robotics applications. However, modern LiDAR sensors only provide sparse depth measurement. It is thus necessary to complete the sparse LiDAR data, where a synchronized guidance RGB image is often used to facilitate this completion. Many neural networks have been designed for this task. However, they often naively fuse the LiDAR data and RGB image information by performing feature concatenation or element-wise addition. Inspired by the guided image filtering, we design a novel guided network to predict kernel weights from the guidance image. These predicted kernels are then a"
84,hostile_prior;deep_read;serious_skim;landscape,84,84,84,https://openalex.org/W4402300309,2024,ReFlow6D: Refraction-Guided Transparent Object 6D Pose Estimation via Intermediate Representation Learning,Hrishikesh Gupta; Stefan Thalhammer; Jean-Baptiste Weibel; Alexander Haberl; Markus Vincze,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2024.3455897,4,21.4633,2,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"Transparent objects are ubiquitous in daily life, making their perception and robotics manipulation important. However, they present a major challenge due to their distinct refractive and reflective properties when it comes to accurately estimating the 6D pose. To solve this, we present <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ReFlow6D</i>, a novel method for transparent object 6D pose estimation that harnesses the <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">refractive-intermediate representation</i>. Unlike conventional approaches,"
85,hostile_prior;deep_read;serious_skim;landscape,85,85,85,https://openalex.org/W1664052478,2015,A sliding window approach to exploration for 3D map building using a biologically inspired bridge inspection robot,Gavin Paul; Phillip Quin; Andrew Wing Keung To; Dikai Liu,,https://doi.org/10.1109/cyber.2015.7288098,12,21.3977,1,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"This paper presents a Sliding Window approach to viewpoint selection when exploring an environment using a RGB-D sensor mounted to the end-effector of an inchworm climbing robot for inspecting areas inside steel bridge archways which cannot be easily accessed by workers. The proposed exploration approach uses a kinematic chain robot model and information theory-based next best view calculations to predict poses which are safe and are able to reduce the information remaining in an environment. At each exploration step, a viewpoint is selected by analysing the Pareto efficiency of the predicted information gain and the required movement for a s"
86,hostile_prior;deep_read;serious_skim;landscape,86,86,86,https://openalex.org/W2952174552,2018,Deep Depth Completion of a Single RGB-D Image,Yinda Zhang; Thomas Funkhouser,arXiv (Cornell University),https://doi.org/10.48550/arxiv.1803.09326,21,21.3819,8,transparent_reflective_depth,"Recover missing or corrupted depth on transparent, reflective, or specular objects.","Uses learned normals, shape priors, polarization/geometry cues, or synthetic training to repair unreliable depth.",Problem-specific appearance or material priors transfer; the robot does not need to move specifically to expose witness rays.,"Material class, illumination assumptions, and training distribution are often fixed.",Can hallucinate plausible but wrong geometry when material priors fail or the object is novel.,Makes material-aware missing-depth repair less novel.,A material-agnostic motion probe that asks for new rays before hallucinating surface depth.,"The goal of our work is to complete the depth channel of an RGB-D image. Commodity-grade depth cameras often fail to sense depth for shiny, bright, transparent, and distant surfaces. To address this problem, we train a deep network that takes an RGB image as input and predicts dense surface normals and occlusion boundaries. Those predictions are then combined with raw depth observations provided by the RGB-D camera to solve for depths for all pixels, including those missing in the original observation. This method was chosen over others (e.g., inpainting depths directly) as the result of extensive experiments with a new depth completion bench"
87,hostile_prior;deep_read;serious_skim;landscape,87,87,87,https://openalex.org/W3153322041,2021,ManipulaTHOR: A Framework for Visual Object Manipulation,Kiana Ehsani; Winson Han; Alvaro Herrasti; Eli VanderBilt; Luca Weihs; Eric Kolve; et al.,,https://doi.org/10.1109/cvpr46437.2021.00447,7,21.3278,1,robotic_perception_general,"Improve robot perception of 3D geometry for planning, manipulation, or navigation.","Combines perception models with robot task context, motion, or geometry processing.",Task-level perception can tolerate local missing-depth assumptions.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can treat holes as nuisance preprocessing rather than action-relevant evidence gaps.,Makes generic robot depth perception less novel.,"Treat missing depth as an action target, not only a perception output.","The domain of Embodied AI has recently witnessed substantial progress, particularly in navigating agents within their environments. These early successes have laid the building blocks for the community to tackle tasks that require agents to actively interact with objects in their environment. Object manipulation is an established research domain within the robotics community and poses several challenges including manipulator motion, grasping and long-horizon planning, particularly when dealing with oft-overlooked practical setups involving visually rich and complex scenes, manipulation using mobile agents (as opposed to tabletop manipulation)"
88,hostile_prior;deep_read;serious_skim;landscape,88,88,88,https://openalex.org/W2413963660,2016,An information gain formulation for active volumetric 3D reconstruction,Stefan Isler; Reza Sabzevari; Jeffrey Delmerico; Davide Scaramuzza,,https://doi.org/10.1109/icra.2016.7487527,152,20.8607,1,active_perception_next_best_view,"Select a view or sensing action that improves 3D reconstruction, coverage, or information gain.","Optimizes a candidate camera/view action by expected coverage, entropy reduction, reconstruction utility, or learned view value.",The objective is global reconstruction or map coverage; candidate views are evaluated at scene scale; individual depth holes are not treated as first-class decision objects.,"Utility granularity, candidate action set, scene representation, and reconstruction objective are usually fixed.",Can waste motion on global coverage while a small local hole remains decision-critical.,"Makes view selection for 3D perception, information gain, and active reconstruction less novel.",Hole-conditioned micro-actions that target ambiguous pixels rather than global map utility.,"We consider the problem of next-best view selection for volumetric reconstruction of an object by a mobile robot equipped with a camera. Based on a probabilistic volumetric map that is built in real time, the robot can quantify the expected information gain from a set of discrete candidate views. We propose and evaluate several formulations to quantify this information gain for the volumetric reconstruction task, including visibility likelihood and the likelihood of seeing new parts of the object. These metrics are combined with the cost of robot movement in utility functions. The next best view is selected by optimizing these functions, aimi"
89,hostile_prior;deep_read;serious_skim;landscape,89,89,89,https://openalex.org/W3011329751,2020,Semantic Scene Completion from a Single 360-Degree Image and Depth Map,Aloisio Dourado; Hansung Kim; Teofilo de Campos; Adrian Hilton,,https://doi.org/10.5220/0008877700360046,9,20.8059,1,scene_or_shape_completion,"Complete unobserved 3D structure from partial point clouds, RGB-D frames, or learned shape priors.","Fits learned implicit fields, voxels, point transformers, or shape priors to partial 3D evidence.",Category or scene priors dominate local observability; unobserved surfaces can be plausibly completed without testing alternatives.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can hide ambiguity behind category priors and overconfident shape completion.,Makes learned completion of unobserved 3D structure less novel.,Explicit tests for whether a completed surface is identifiable under feasible robot motion.,"We present a method for Semantic Scene Completion (SSC) of complete indoor scenes from a single 360 RGB image and corresponding depth map using a Deep Convolution Neural Network that takes advantage of existing datasets of synthetic and real RGB-D images for training. Recent works on SSC only perform occupancy prediction of small regions of the room covered by the field-of-view of the sensor in use, which implies the need of multiple images to cover the whole scene, being an inappropriate method for dynamic scenes. Our approach uses only a single 360o image with its corresponding depth map to infer the occupancy and semantic labels of the who"
90,hostile_prior;deep_read;serious_skim;landscape,90,90,90,https://openalex.org/W3111606041,2020,S3CNet: A Sparse Semantic Scene Completion Network for LiDAR Point Clouds,"Ran Cheng; Christopher Agia; Yuan Ren; Xin-Hai Li; Bingbing, Liu",arXiv (Cornell University),https://doi.org/10.48550/arxiv.2012.09242,8,20.769,2,scene_or_shape_completion,"Complete unobserved 3D structure from partial point clouds, RGB-D frames, or learned shape priors.","Fits learned implicit fields, voxels, point transformers, or shape priors to partial 3D evidence.",Category or scene priors dominate local observability; unobserved surfaces can be plausibly completed without testing alternatives.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can hide ambiguity behind category priors and overconfident shape completion.,Makes learned completion of unobserved 3D structure less novel.,Explicit tests for whether a completed surface is identifiable under feasible robot motion.,"With the increasing reliance of self-driving and similar robotic systems on robust 3D vision, the processing of LiDAR scans with deep convolutional neural networks has become a trend in academia and industry alike. Prior attempts on the challenging Semantic Scene Completion task - which entails the inference of dense 3D structure and associated semantic labels from ""sparse"" representations - have been, to a degree, successful in small indoor scenes when provided with dense point clouds or dense depth maps often fused with semantic segmentation maps from RGB images. However, the performance of these systems drop drastically when applied to lar"
91,hostile_prior;deep_read;serious_skim;landscape,91,91,91,https://openalex.org/W2606926518,2017,"Robot@Home, a robotic dataset for semantic mapping of home environments",Jose-Raul Ruiz-Sarmiento; Cipriano Galindo; Javier Gonzalez-Jimenez,The International Journal of Robotics Research,https://doi.org/10.1177/0278364917695640,85,20.759,1,robot_mapping_and_exploration,Build maps or inspect scenes while moving a robot under sensing and navigation constraints.,"Plans trajectories or integrates RGB-D/LiDAR observations into maps with frontier, utility, or information objectives.",Information gain over map cells is the right granularity; small local repair motions are secondary to exploration.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can optimize exploration progress while missing task-critical micro-geometry.,Makes active mapping and informative motion less novel.,Local repair motions inserted into manipulation perception loops before global exploration.,"This paper presents the Robot-at-Home dataset (Robot@Home), a collection of raw and processed sensory data from domestic settings aimed at serving as a benchmark for semantic mapping algorithms through the categorization of objects and/or rooms. The dataset contains 87,000+ time-stamped observations gathered by a mobile robot endowed with a rig of four RGB-D cameras and a 2D laser scanner. Raw observations have been processed to produce different outcomes also distributed with the dataset, including 3D reconstructions and 2D geometric maps of the inspected rooms, both annotated with the ground truth categories of the surveyed rooms and object"
92,hostile_prior;deep_read;serious_skim;landscape,92,92,92,https://openalex.org/W3134399927,2021,Active Vision for Robot Manipulators Using the Free Energy Principle,Toon Van de Maele; Tim Verbelen; Ozan Catal; Cedric De Boom; Bart Dhoedt,Frontiers in Neurorobotics,https://doi.org/10.3389/fnbot.2021.642780,23,20.7123,1,robotic_perception_general,"Improve robot perception of 3D geometry for planning, manipulation, or navigation.","Combines perception models with robot task context, motion, or geometry processing.",Task-level perception can tolerate local missing-depth assumptions.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can treat holes as nuisance preprocessing rather than action-relevant evidence gaps.,Makes generic robot depth perception less novel.,"Treat missing depth as an action target, not only a perception output.","Occlusions, restricted field of view and limited resolution all constrain a robot's ability to sense its environment from a single observation. In these cases, the robot first needs to actively query multiple observations and accumulate information before it can complete a task. In this paper, we cast this problem of active vision as active inference, which states that an intelligent agent maintains a generative model of its environment and acts in order to minimize its surprise, or expected free energy according to this model. We apply this to an object-reaching task for a 7-DOF robotic manipulator with an in-hand camera to scan the workspac"
93,hostile_prior;deep_read;serious_skim;landscape,93,93,93,https://openalex.org/W4388020377,2023,Multi-robot geometric task-and-motion planning for collaborative manipulation tasks,Hejia Zhang; Shao-Hung Chan; Jie Zhong; Jiaoyang Li; Peter Kolapo; Sven Koenig; et al.,Autonomous Robots,https://doi.org/10.1007/s10514-023-10148-y,12,20.6977,1,robot_mapping_and_exploration,Build maps or inspect scenes while moving a robot under sensing and navigation constraints.,"Plans trajectories or integrates RGB-D/LiDAR observations into maps with frontier, utility, or information objectives.",Information gain over map cells is the right granularity; small local repair motions are secondary to exploration.,"Sensor model, candidate actions, and representation family are usually fixed by the method.",Can optimize exploration progress while missing task-critical micro-geometry.,Makes active mapping and informative motion less novel.,Local repair motions inserted into manipulation perception loops before global exploration.,"Abstract We address multi-robot geometric task-and-motion planning (MR-GTAMP) problems in synchronous , monotone setups. The goal of the MR-GTAMP problem is to move objects with multiple robots to goal regions in the presence of other movable objects. We focus on collaborative manipulation tasks where the robots have to adopt intelligent collaboration strategies to be successful and effective, i.e., decide which robot should move which objects to which positions, and perform collaborative actions, such as handovers. To endow robots with these collaboration capabilities, we propose to first collect occlusion and reachability information for ea"
94,hostile_prior;deep_read;serious_skim;landscape,94,94,94,https://openalex.org/W4390938937,2024,Semantic-Guided Depth Completion From Monocular Images and 4D Radar Data,Zecheng Li; Yuying Song; Fuyuan Ai; Chunyi Song; Zhiwei Xu,IEEE Transactions on Intelligent Vehicles,https://doi.org/10.1109/tiv.2024.3355125,7,20.6278,2,passive_depth_completion,"Infer dense metric depth from sparse, noisy, or partially missing RGB-D/LiDAR measurements.","Uses image/depth priors, sparse-to-dense networks, propagation, or local smoothness to fill missing depth from the current observation.",The current image and priors contain enough evidence; the camera pose is fixed at inference; missingness can be handled as statistical imputation.,"Camera pose, motion budget, viewpoint, and missingness process are fixed at completion time.",Can be provably non-identifiable when two 3D scenes induce the same first observation and hole mask.,Makes dense depth imputation from RGB-D/LiDAR priors less novel.,Set-valued completion plus purposeful parallax to distinguish indistinguishable first-view hypotheses.,"Depth completion aims to recover dense depth maps from sparse depth measurements. It is a fundamental challenge in computer vision that is faced in numerous applications, such as robotics, UAVs, and autonomous driving. With the recent advancement in hardware, millimeter-wave (mmWave) radar technology is now commonly employed in high-level perception tasks of autonomous driving. However, compared to LiDAR point clouds, mmWave radar point clouds tend to be sparse and include several ghost targets. To address these challenges, we propose a semantic-guided network architecture to perform depth diffusion by utilizing the consistent relationship be"
